회원번호,region_tier,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
386033152,Tier1_새벽배송가능권(가정),1.0,0.17880591923026085,0.1544551531129971,-0.02435076611726375,0.2448028501569845,0.23543400690353622,-0.009368843253448278
386365376,Tier3_배송취약권(가정),0.0,0.7596180185975953,0.7833727152830265,0.023754696685431287,0.8163026607657602,0.8198108613458293,0.003508200580069065
386417344,Tier1_새벽배송가능권(가정),0.0,0.8016198794239457,0.8312089272048103,0.029589047780864575,0.7542232889049757,0.7315054887457461,-0.02271780015922964
386521280,Tier1_새벽배송가능권(가정),,0.04313682313930796,0.03303564566328121,-0.010101177476026749,0.07453857195759356,0.0874344563705575,0.012895884412963937
386599232,Tier2_익일배송표준권(가정),0.0,0.05815962096771804,0.04962945023271607,-0.008530170735001973,0.06934527096087899,0.08302477880283064,0.013679507841951655
386820096,Tier3_배송취약권(가정),0.0,0.6807958539928939,0.6964598520259409,0.015663998033046966,0.7035454588792404,0.7048065943474401,0.0012611354681997256
387269248,Tier3_배송취약권(가정),0.0,0.11548450008010032,0.10596681077221813,-0.009517689307882188,0.13022628320760007,0.1780710300524454,0.047844746844845326
387367616,Tier3_배송취약권(가정),1.0,0.3812315707844505,0.377908359995852,-0.0033232107885985407,0.4179983692282069,0.34301033076091436,-0.07498803846729252
387371328,Tier3_배송취약권(가정),0.0,0.11903907766901477,0.09271789211205693,-0.026321185556957838,0.11456812659188868,0.14125814033552062,0.026690013743631932
387430720,Tier3_배송취약권(가정),0.0,0.05895535694394758,0.05054280923508187,-0.008412547708865709,0.08894426894672662,0.10673726194107068,0.01779299299434406
387445568,Tier2_익일배송표준권(가정),0.0,0.7733792167406034,0.8043796455022018,0.031000428761598364,0.7763310261889255,0.826060313355394,0.04972928716646852
387662720,Tier1_새벽배송가능권(가정),0.0,0.7476628764336598,0.8081672008376346,0.060504324403974796,0.6303489249430555,0.7321305283846855,0.10178160344163001
387725824,Tier1_새벽배송가능권(가정),0.0,0.8791776985608668,0.9044971949502705,0.025319496389403673,0.8669549888589921,0.8573758002033965,-0.009579188655595594
387733248,Tier2_익일배송표준권(가정),0.0,0.04665436286794354,0.036277081481340887,-0.010377281386602655,0.06030146763787957,0.06900747726764578,0.008706009629766205
387850176,Tier3_배송취약권(가정),0.0,0.06489064663642842,0.049767823830879826,-0.015122822805548594,0.077375953543002,0.11906396634984208,0.04168801280684008
387918848,Tier2_익일배송표준권(가정),0.0,0.23273166947973759,0.21327961738089785,-0.01945205209883974,0.22641759433253308,0.256841167235431,0.030423572902897905
388024640,Tier2_익일배송표준권(가정),0.0,0.20443019605063667,0.24686443542197975,0.04243423937134308,0.24854539217823654,0.2401295229523787,-0.008415869225857853
388067328,Tier1_새벽배송가능권(가정),0.0,0.03399716096129046,0.05882090156765866,0.024823740606368196,0.05508627398814639,0.10273789257127654,0.04765161858313015
388110016,Tier3_배송취약권(가정),0.0,0.8630758096082125,0.8733843052611161,0.010308495652903593,0.8212410908684445,0.8962054572852809,0.07496436641683635
388505344,Tier3_배송취약권(가정),0.0,0.7744305917394579,0.7686209776676897,-0.0058096140717682765,0.7804212615670374,0.8034893194154548,0.023068057848417367
388748480,Tier2_익일배송표준권(가정),0.0,0.050711701418084336,0.04160784461586937,-0.009103856802214969,0.06517553288710481,0.07878561748212572,0.013610084595020902
388767040,Tier2_익일배송표준권(가정),1.0,0.05076490910709947,0.03687776062830303,-0.013887148478796442,0.09490799835671597,0.11007369954658724,0.015165701189871275
388878400,Tier1_새벽배송가능권(가정),,0.8054210426255192,0.9219696649790793,0.11654862235356012,0.7914906990661058,0.718496596099587,-0.07299410296651876
389065856,Tier2_익일배송표준권(가정),0.0,0.9875768778726871,0.9918919637104819,0.00431508583779483,0.9562967742918886,0.9285344516371249,-0.02776232265476375
389223616,Tier3_배송취약권(가정),,0.05436027047853519,0.040993398606158485,-0.013366871872376708,0.09750068854953192,0.0820863036584321,-0.015414384891099822
389231040,Tier1_새벽배송가능권(가정),0.0,0.40376437010179245,0.3520463246469635,-0.05171804545482894,0.415974577073233,0.3666959799699551,-0.049278597103277866
389294144,Tier2_익일배송표준권(가정),,0.20402545170286604,0.2193740804381585,0.015348628735292469,0.30322807708210475,0.2793879643556768,-0.023840112726427942
389425920,Tier2_익일배송표준권(가정),0.0,0.10566733773582071,0.09310419448579416,-0.012563143250026554,0.09815408491698387,0.14113934004830836,0.04298525513132449
389437056,Tier1_새벽배송가능권(가정),0.0,0.054161487186311696,0.051936919562754084,-0.002224567623557612,0.0828085746852166,0.13662791884180017,0.05381934415658357
389847232,Tier3_배송취약권(가정),0.0,0.5132606251029475,0.5146877866087536,0.0014271615058061293,0.5231581235837824,0.6176578463628875,0.09449972277910501
390045824,Tier1_새벽배송가능권(가정),0.0,0.033372920721251524,0.05454943998121523,0.021176519259963708,0.06015944678171992,0.08694881825123996,0.026789371469520033
390075520,Tier2_익일배송표준권(가정),0.0,0.7016516597591257,0.7334630515604834,0.031811391801357725,0.789913004104895,0.8001939517260763,0.010280947621181369
390095936,Tier1_새벽배송가능권(가정),,0.07845130375115861,0.0680817142926047,-0.010369589458553902,0.12201444244695478,0.14730887576030252,0.02529443331334774
390569216,Tier3_배송취약권(가정),,0.887720871624379,0.8999721002997182,0.012251228675339232,0.8250609120028173,0.8788744231928277,0.05381351119001043
390691712,Tier3_배송취약권(가정),0.0,0.18541443384020057,0.14774612213086466,-0.037668311709335905,0.2279687937805112,0.2115640809324837,-0.016404712848027497
390882880,Tier3_배송취약권(가정),0.0,0.9384789921083841,0.9447120532599239,0.006233061151539765,0.9150885179146048,0.9422528399650276,0.02716432205042285
391003520,Tier3_배송취약권(가정),0.0,0.8505416956873298,0.8436424849334614,-0.006899210753868457,0.7534506962210809,0.7641258018191993,0.010675105598118462
391224384,Tier1_새벽배송가능권(가정),1.0,0.8372598118870735,0.9304854158336685,0.09322560394659496,0.8615878548805104,0.8883196470685887,0.026731792188078307
391289344,Tier1_새벽배송가능권(가정),0.0,0.5070011594779811,0.5071212083504175,0.00012004887243644013,0.5942051524374151,0.5812414198844088,-0.012963732553006313
391473088,Tier1_새벽배송가능권(가정),0.0,0.1941153448655587,0.17717793008813684,-0.01693741477742186,0.1468208753340461,0.2057855579370189,0.05896468260297277
391666112,Tier3_배송취약권(가정),1.0,0.34074274891720463,0.2953403173915296,-0.045402431525675024,0.37243078847250594,0.3616079443365101,-0.010822844135995824
391695808,Tier1_새벽배송가능권(가정),0.0,0.05063275535557747,0.03487479071466985,-0.015757964640907625,0.07434860931940603,0.07824662827614315,0.003898018956737123
391779328,Tier2_익일배송표준권(가정),0.0,0.04221789675167407,0.041113518552967986,-0.0011043781987060824,0.06741401505071871,0.09960264866977293,0.03218863361905422
391994624,Tier1_새벽배송가능권(가정),,0.7683789858814699,0.7914091579388317,0.023030172057361797,0.8040498676343215,0.8401040041875883,0.036054136553266836
392336128,Tier2_익일배송표준권(가정),,0.3118788830311924,0.3388544553477597,0.02697557231656733,0.3790918153929242,0.4048418355033979,0.025750020110473726
392556992,Tier3_배송취약권(가정),0.0,0.3912762321717816,0.3779366376793406,-0.013339594492440987,0.4201463291801826,0.3373540029214908,-0.08279232625869176
392584832,Tier3_배송취약권(가정),,0.903728217845441,0.9567003313273079,0.05297211348186692,0.8778437653721776,0.917901583704265,0.040057818332087436
392627520,Tier2_익일배송표준권(가정),0.0,0.20439090087970052,0.18623610335750435,-0.018154797522196175,0.2418039162950784,0.2261505541690646,-0.015653362126013814
392679488,Tier1_새벽배송가능권(가정),0.0,0.7719102050861071,0.7835944003503991,0.011684195264291986,0.7836654889279419,0.8477266008082621,0.06406111188032027
393141632,Tier2_익일배송표준권(가정),1.0,0.6929455535444097,0.7805853426959205,0.08763978915151083,0.5894009340603563,0.6572855761055956,0.06788464204523925
393277120,Tier1_새벽배송가능권(가정),0.0,0.8281739699274311,0.8507709044110936,0.022596934483662512,0.8421929310093098,0.8710458775009856,0.0288529464916758
393343936,Tier2_익일배송표준권(가정),0.0,0.9208035026514269,0.9330257382447434,0.012222235593316588,0.8980608567038346,0.9002141253295812,0.002153268625746607
393373632,Tier3_배송취약권(가정),0.0,0.4214071956472157,0.41889043588201214,-0.0025167597652035467,0.425237630875714,0.4219266939560423,-0.0033109369196716587
393429312,Tier3_배송취약권(가정),,0.31597940142645015,0.26273972446611743,-0.053239676960332716,0.2932797463554939,0.23078230145413417,-0.06249744490135975
393533248,Tier3_배송취약권(가정),0.0,0.3625491339824364,0.33219066320874335,-0.030358470773693025,0.34762458344297575,0.3383753171983904,-0.00924926624458533
