회원번호,frequency,monetary,가격구간,region_tier,age_gender_segment,treatment_h4,future_is_vip,vip_conversion_score_logit,vip_conversion_score_rf
1284457792,12,550582,Q3,Tier3_배송취약권(가정),40s_F,1.0,0,0.7159978591220657,0.7981417636383005
775962048,15,544460,Q3,Tier3_배송취약권(가정),40s_F,0.0,1,0.8344294148572686,0.7972457944304092
757830784,15,550870,Q3,Tier3_배송취약권(가정),50s_F,0.0,0,0.7684746571771782,0.7971800807460256
218091136,7,655305,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.8021504887149435,0.7961089103770369
248030272,7,537569,Q4_고가,Tier3_배송취약권(가정),50s_F,1.0,0,0.7037823633456252,0.7954141271677548
1619757184,6,379822,Q4_고가,Tier2_익일배송표준권(가정),60+_F,,1,0.9132220679196694,0.7952200933526405
1006891136,16,714172,Q3,Tier2_익일배송표준권(가정),30s_F,0.0,0,0.7212517576843371,0.795085293466981
742687680,15,525698,Q3,Tier3_배송취약권(가정),40s_F,0.0,0,0.7887355113542579,0.7949387302372822
900113600,22,696555,Q3,Tier2_익일배송표준권(가정),50s_F,,1,0.7956908824150629,0.7940580819987361
378722368,8,447878,Q4_고가,Tier2_익일배송표준권(가정),40s_F,0.0,0,0.7607894748066653,0.7937611466213009
748587904,16,617049,Q3,Tier3_배송취약권(가정),40s_F,0.0,1,0.801002668967745,0.7929377171624405
746524032,25,735642,Q2,Tier3_배송취약권(가정),60+_F,1.0,0,0.8591633283726166,0.7923973692855318
1046735744,18,554413,Q3,Tier3_배송취약권(가정),50s_F,,0,0.7329763290332071,0.792297882110356
44844672,8,514117,Q4_고가,Tier1_새벽배송가능권(가정),40s_F,0.0,0,0.8442057578387674,0.7917769226673569
1505130624,17,736571,Q3,Tier2_익일배송표준권(가정),40s_F,0.0,1,0.8780129734177139,0.7913617103064935
1200522048,11,574516,Q4_고가,Tier2_익일배송표준권(가정),30s_F,,0,0.741213576360884,0.7913468839817881
109325824,16,663343,Q3,Tier3_배송취약권(가정),50s_F,0.0,0,0.7671790251654412,0.7912358933344037
1490121152,9,601742,Q4_고가,Tier1_새벽배송가능권(가정),50s_F,1.0,0,0.7414086237028092,0.79117074058054
108843264,10,643705,Q4_고가,Tier1_새벽배송가능권(가정),30s_F,0.0,0,0.7443512161504534,0.7910833048235558
480726272,9,443377,Q4_고가,Tier3_배송취약권(가정),30s_M,0.0,0,0.6975112415170194,0.7909806957788779
