회원번호,age_gender_segment,treatment_h4,p_control,p_treated,uplift
66474496,40s_F,0.0,0.8459927004288754,0.8803373473601991,0.034344646931323664
66478208,50s_F,1.0,0.543155132298072,0.6171703066527549,0.07401517435468286
66485632,40s_F,0.0,0.7740657120310932,0.8551154479206842,0.08104973588959097
66810432,50s_F,0.0,0.3329169407574602,0.2977474131220085,-0.035169527635451725
67105536,60+_F,0.0,0.8133749368244804,0.8634400114709898,0.050065074646509444
67109248,50s_F,0.0,0.8519509887406567,0.8563485589931499,0.00439757025249321
67185344,60+_F,1.0,0.0959880053577084,0.10913866503658619,0.013150659678877782
67189056,40s_F,1.0,0.5983460171885808,0.6220792242162682,0.02373320702768733
67302272,50s_F,0.0,0.7772615794849314,0.664571663278395,-0.11268991620653634
67367232,60+_F,1.0,0.06958617193468192,0.10390734688516043,0.03432117495047851
67448896,60+_F,,0.44674351961893355,0.44006693209633974,-0.006676587522593813
67556544,60+_F,0.0,0.12621846028472125,0.201691951877382,0.07547349159266076
67563968,60+_F,0.0,0.09327036791910251,0.14870592302293095,0.05543555510382844
67601088,60+_F,0.0,0.08768997045278092,0.08793343857549461,0.000243468122713697
67602944,60+_F,0.0,0.8375031212107004,0.879457296502826,0.04195417529212564
67634496,60+_F,0.0,0.13849109946599292,0.14075882424346792,0.002267724777475
67705024,60+_F,,0.5815485765172849,0.5590122231575598,-0.022536353359725037
67821952,50s_F,,0.4749076838078683,0.37581769964036843,-0.09908998416749987
67987136,50s_F,0.0,0.885894908520736,0.9265403815265928,0.04064547300585675
68027968,40s_F,1.0,0.37478656339176486,0.3740164802804328,-0.0007700831113320872
68200576,50s_F,0.0,0.07631970471011053,0.09764990045231262,0.021330195742202088
68276672,60+_M,0.0,0.8991178688064483,0.9154926352780755,0.016374766471627167
68310080,60+_F,0.0,0.24175622462567292,0.24820348755547342,0.006447262929800496
68452992,60+_F,1.0,0.3559393822678188,0.32407322091287616,-0.031866161354942635
68506816,60+_F,,0.8921477112221445,0.8847455464518583,-0.0074021647702862126
68891008,50s_F,0.0,0.5889211479839742,0.6830561213204777,0.09413497333650345
68976384,50s_F,0.0,0.8523311668919774,0.8735772421547453,0.021246075262767894
69199104,50s_F,0.0,0.11965576276343684,0.13636253425096345,0.01670677148752661
69319744,50s_F,0.0,0.09701175726268361,0.10038726682805083,0.00337550956536721
69403264,50s_F,1.0,0.8310096679103356,0.8768707884012802,0.045861120490944596
69455232,60+_F,0.0,0.1068996349612846,0.14205475190608033,0.03515511694479573
69501632,50s_F,1.0,0.09522998949936703,0.10383404100794325,0.00860405150857621
69503488,60+_F,0.0,0.49297451980955564,0.5831957752829686,0.09022125547341298
69642688,60+_F,,0.2397168534651637,0.2422689590304428,0.0025521055652791003
69731776,50s_F,,0.18958248803212274,0.2004916703606119,0.01090918232848917
69750336,60+_F,,0.17057989275832508,0.21458928326683832,0.04400939050851324
69785600,40s_F,1.0,0.5874461150714942,0.7356606648744081,0.14821454980291382
69804160,50s_F,0.0,0.6248446487691361,0.6633730198534612,0.03852837108432505
69950784,40s_F,0.0,0.6086309604316066,0.6678659705874819,0.05923501015587529
70284864,50s_F,,0.09401866057778394,0.10240578899812001,0.008387128420336079
70305280,40s_F,0.0,0.06661017264680401,0.0954277229880251,0.02881755034122109
