antecedents,consequents,support,confidence,lift
밀가공,과일,0.012539693064857178,0.10372356633554755,1.050619099638622
과일,밀가공,0.012539693064857178,0.12701492537313433,1.050619099638622
잎/줄기채소,소스/기타양념,0.010388347368653714,0.04840536921967799,1.048350464148344
소스/기타양념,잎/줄기채소,0.010388347368653714,0.22498803255146002,1.048350464148344
기름/식초,알,0.010425185479890076,0.24321072533516674,1.0454048370338174
알,기름/식초,0.010425185479890076,0.04481109668429554,1.0454048370338174
어묵/묵,알,0.014845758828253357,0.2432106216053108,1.0454043911665842
알,어묵/묵,0.014845758828253357,0.06381226842321944,1.0454043911665842
돼지,알,0.015317286652078774,0.24312945854286047,1.0450555239118318
알,돼지,0.015317286652078774,0.06583906007537131,1.0450555239118318
과자,냉동수산,0.010506229324610069,0.07228671364120241,1.0439884396474528
냉동수산,과자,0.010506229324610069,0.15173441157693124,1.0439884396474528
냉동수산,열매채소,0.01051359694685734,0.1518408171951479,1.0412895249131078
열매채소,냉동수산,0.01051359694685734,0.07209983831851254,1.0412895249131078
두부/유부,"열매채소, 잎/줄기채소",0.012038694752042674,0.04596860406234175,1.0410933857463014
건어물,잎/줄기채소,0.012591266420588084,0.2204876790091601,1.0273806922391533
잎/줄기채소,건어물,0.012591266420588084,0.058670053898177074,1.027380692239153
열매채소,콩나물,0.016311915655460512,0.11186337914308811,1.0256082536957718
콩나물,열매채소,0.016311915655460512,0.1495541745474196,1.0256082536957718
닭/오리,알,0.011987121396311768,0.23852807506230755,1.0252771669294722
알,닭/오리,0.011987121396311768,0.05152484403204864,1.0252771669294722
냉동수산,두부/유부,0.018588510929867602,0.2684613747605873,1.025094073450733
두부/유부,냉동수산,0.018588510929867602,0.07097845045856073,1.025094073450733
뿌리채소,두부/유부,0.028387448518739547,0.2681467047115318,1.0238925359756794
두부/유부,뿌리채소,0.028387448518739547,0.10839475609069937,1.0238925359756792
양념채소,해조,0.01002733387853738,0.0687477900692024,1.0232557076765842
해조,양념채소,0.01002733387853738,0.14924882114266913,1.0232557076765842
두부/유부,양념채소,0.03906313315503687,0.14915883643729252,1.0226387690456775
양념채소,두부/유부,0.03906313315503687,0.2678183563166136,1.0226387690456773
알,밑반찬,0.01950209608852935,0.08382683598821929,1.0219826301845878
밑반찬,알,0.01950209608852935,0.23776160962903084,1.0219826301845878
알,유제품,0.030199883591568492,0.12980967159641513,1.0202638784011715
유제품,알,0.030199883591568492,0.23736174648213562,1.0202638784011713
잎/줄기채소,"두부/유부, 알",0.014307922404202492,0.06666895533660613,1.0198253847494887
멥쌀,알,0.011987121396311768,0.2370683374617514,1.0190027037193545
알,멥쌀,0.011987121396311768,0.05152484403204864,1.0190027037193545
알,콩나물,0.02577931024320521,0.11080849985749121,1.0159366979976645
콩나물,알,0.02577931024320521,0.23635503917860037,1.0159366979976645
잎/줄기채소,두부/유부,0.05697382283815544,0.2654742696282056,1.0136880983054835
두부/유부,잎/줄기채소,0.05697382283815544,0.21754909131829178,1.0136880983054835
두부/유부,쌈채소류,0.017601249548733138,0.06720868733472121,1.0131239363898685
쌈채소류,두부/유부,0.017601249548733138,0.2653265215459796,1.0131239363898683
빵,열매채소,0.017085515991424088,0.14758480239292307,1.0121027508078544
열매채소,빵,0.017085515991424088,0.11716855295068715,1.0121027508078544
소,알,0.013593263046217094,0.23521162672106066,1.0110219109865677
알,소,0.013593263046217094,0.058428603097190994,1.0110219109865677
밀가공,콩나물,0.013320661023068026,0.11018343591931258,1.0102058615166427
콩나물,밀가공,0.013320661023068026,0.12212915428262631,1.0102058615166425
과일,음료,0.013880600313860708,0.14059701492537313,1.0101684526391388
음료,과일,0.013880600313860708,0.0997300301730983,1.0101684526391388
열매채소,두부/유부,0.038451620508513286,0.2636924009700889,1.0068842033215888
두부/유부,열매채소,0.038451620508513286,0.14682383390536205,1.0068842033215888
해조,두부/유부,0.01768229339345313,0.26318675293343563,1.0049534346734452
두부/유부,해조,0.01768229339345313,0.06751814550160355,1.0049534346734452
알,과일,0.023068025256209063,0.09915444785761789,1.004338362184076
과일,알,0.023068025256209063,0.23365671641791044,1.004338362184076
과일채소,음료,0.011147212460122744,0.13965294443418866,1.0033854478380178
음료,과일채소,0.011147212460122744,0.08009104864750409,1.0033854478380175
과일채소,알,0.01857377568537306,0.23269337271552523,1.0001975737183877
알,과일채소,0.01857377568537306,0.07983658992304526,1.0001975737183875
