회원번호,preperiod_제철구매비율,treatment_h4,p_control_logit,p_treated_logit,uplift_logit,p_control_rf,p_treated_rf,uplift_rf
1227452608,0.03125,0.0,0.7430042313384899,0.8030546535931743,0.06005042225468438,0.7707782244571741,0.6937723116743926,-0.07700591278278157
1227692032,0.0,0.0,0.20277554455007304,0.2540576645103375,0.051282119960264466,0.18406393065815402,0.21009465869931152,0.026030728041157497
1227734720,0.135593220338983,0.0,0.8656413464389957,0.9030046498674716,0.037363303428475936,0.8482126541518776,0.8287357554693072,-0.01947689868257041
1227756992,0.0,,0.4273401702171432,0.47395561148680687,0.04661544126966366,0.42411770813414384,0.4595180305164994,0.035400322382355576
1227771840,0.0,1.0,0.07890632277620938,0.06128677666893945,-0.01761954610726993,0.07729808842602495,0.08089204894491546,0.003593960518890507
1227831232,0.0,0.0,0.0492672534880371,0.03789232054890197,-0.011374932939135128,0.0594599271577577,0.08120838282541205,0.021748455667654355
1227901760,0.0952380952380952,0.0,0.6934593827197735,0.6753184315992625,-0.01814095112051095,0.4384631958204493,0.6551370901548198,0.2166738943343705
1227912896,0.0,0.0,0.09288221707220741,0.08597118841104852,-0.006911028661158891,0.15094186029358111,0.18562628380466312,0.034684423511082
1227944448,0.0,1.0,0.6016706655218033,0.6238981483372524,0.022227482815449173,0.44165464916539426,0.5035196715349175,0.06186502236952324
1228213568,0.2,0.0,0.12181442583113393,0.09589978774243417,-0.02591463808869976,0.1568996635282877,0.1704446706328326,0.013545007104544926
1228226560,0.1333333333333333,0.0,0.3045118705750764,0.2858138444888795,-0.018698026086196917,0.3146072255838176,0.3528109701629037,0.038203744579086096
1228245120,0.0,1.0,0.2172543284469431,0.16112935903410633,-0.05612496941283676,0.21336373146297427,0.23737293173343524,0.024009200270460967
1228701696,0.0377358490566037,,0.7764677275135279,0.7994727083148505,0.023004980801322628,0.6627516519894356,0.6349832052932566,-0.02776844669617906
1228894720,0.2241379310344827,0.0,0.8306893571302313,0.8529670931874536,0.022277736057222275,0.7952866606258808,0.7401750873823357,-0.0551115732435451
1228898432,0.0,,0.16199834096139046,0.28410853922080537,0.12211019825941491,0.2214636765225473,0.2283059145368624,0.006842238014315077
1228996800,0.0,1.0,0.038064253953119825,0.04142768286223046,0.0033634289091106356,0.06316324463522352,0.09010984222305385,0.02694659758783033
1229189824,0.0,,0.07385693275221052,0.07020167909573892,-0.0036552536564715965,0.09847619492531942,0.11437275407937626,0.01589655915405684
1229260352,0.0,,0.5316113292746327,0.4654022016075361,-0.06620912766709663,0.379677011520529,0.4132009991968593,0.0335239876763303
1229312320,0.0,0.0,0.04961957329173341,0.05249832449771147,0.00287875120597806,0.06973468979193155,0.10265846160535912,0.032923771813427566
1229377280,0.0454545454545454,1.0,0.3632294967796397,0.2909307374627575,-0.07229875931688223,0.4055962190380069,0.4101707641907182,0.0045745451527112735
1229418112,0.5,,0.05202288241514092,0.03275383720097074,-0.01926904521417018,0.08176707452347283,0.11067974471167512,0.02891267018820229
1229600000,0.0,,0.04853445918407386,0.04006009700909218,-0.008474362174981681,0.07576325772782054,0.08027205890270603,0.004508801174885488
1229896960,0.0,,0.5935291246665675,0.6385656044585131,0.04503647979194558,0.5307625146377328,0.5766500081659006,0.04588749352816779
1229965632,0.0759493670886076,0.0,0.8086842171486317,0.8342292738779914,0.025545056729359694,0.7914918154638555,0.8353953495303807,0.04390353406652525
1229984192,0.0,,0.5406671437727818,0.5696683302960592,0.029001186523277434,0.4638617908103313,0.38169846817022723,-0.08216332264010406
1230032448,0.0,,0.32956663706770467,0.35635259559657484,0.02678595852887017,0.26971376542556785,0.28611410412949073,0.01640033870392288
1230407360,0.0,0.0,0.10819770234368047,0.09554697230243361,-0.012650730041246852,0.12757665589493825,0.13636100768862472,0.008784351793686473
1230544704,0.0,0.0,0.4712654811458888,0.4754460391438427,0.004180557997953915,0.4006742718628469,0.3644004683542963,-0.036273803508550584
1230917760,0.0,,0.08590109969164025,0.1519879452262255,0.06608684553458524,0.15302298775549603,0.1770868999456996,0.024063912190203568
1231426304,0.0,0.0,0.07346974480874606,0.05331503186266662,-0.020154712946079442,0.07781692968937845,0.07745819122597075,-0.00035873846340769844
1231847616,0.1111111111111111,0.0,0.09436913876011455,0.07217736386226395,-0.022191774897850597,0.10726412315864728,0.12284075744619243,0.015576634287545146
